Trading Date,Company1,Company2,Change in C1,Change in C2
11/27/19,75.72,151.48,0.26,-0.16
11/29/19,75.12,151.58,-0.60,0.10
12/2/19,74.52,150.62,-0.60,-0.96
12/3/19,73.33,148.58,-1.19,-2.04
12/4/19,74.23,148.28,0.90,-0.30
12/5/19,74.71,147.44,0.48,-0.84
12/6/19,75.81,147.66,1.10,0.22
12/9/19,75.33,146.21,-0.48,-1.45
12/10/19,75.78,146.10,0.45,-0.11
12/11/19,75.55,147.59,-0.23,1.49
12/12/19,77.05,147.76,1.50,0.17
12/13/19,76.39,146.38,-0.66,-1.38
12/16/19,76.91,148.46,0.52,2.08
12/17/19,77.74,147.73,0.83,-0.73
12/18/19,77.92,146.26,0.18,-1.47
12/19/19,78.20,146.15,0.28,-0.11
12/20/19,78.51,146.88,0.31,0.73
12/23/19,78.76,144.68,0.25,-2.20
12/24/19,78.59,145.29,-0.17,0.61
12/26/19,79.83,145.70,1.24,0.41
12/27/19,79.67,145.75,-0.16,0.05
12/30/19,79.51,143.77,-0.16,-1.98
12/31/19,79.89,144.63,0.38,0.86
